PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Aaron Brooks,MIN,33,0.1,0.2,75.0
Aaron Gordon,ORL,22,0.5,1.8,29.5
Aaron Harrison,DAL,23,0.4,0.8,50.0
Abdel Nader,BOS,24,0.0,0.1,0.0
Adreian Payne,ORL,27,0.3,0.5,50.0
Al Horford,BOS,31,0.4,0.9,48.3
Al Jefferson,IND,33,0.5,1.2,38.5
Al-Farouq Aminu,POR,27,0.0,0.4,11.5
Alan Williams,PHX,25,0.0,0.0,0.0
Alec Burks,UTA,26,0.2,0.6,40.0
Alec Peters,PHX,22,0.1,0.1,50.0
Alex Abrines,OKC,24,0.0,0.1,0.0
Alex Caruso,LAL,24,0.0,0.1,25.0
Alex Len,PHX,24,0.0,0.2,18.2
Alex Poythress,IND,24,0.0,0.1,0.0
Alfonzo McKinnie,TOR,25,0.2,0.2,100
Allen Crabbe,BKN,25,0.3,0.7,40.0
Amir Johnson,PHI,30,0.0,0.0,66.7
Andre Drummond,DET,24,0.0,0.0,0.0
Andre Iguodala,GSW,34,0.2,0.6,35.0
Andre Roberson,OKC,26,0.0,0.0,0.0
Andrew Bogut,LAL,33,0.0,0.0,100
Andrew Harrison,MEM,23,0.4,1.0,37.9
Andrew White III,ATL,24,0.1,0.3,25.0
Andrew Wiggins,MIN,23,0.8,2.3,34.1
Ante Zizic,CLE,21,0.1,0.1,100
Anthony Brown,MIN,25,-,-,-
Anthony Davis,NOP,25,1.0,2.7,36.7
Anthony Tolliver,DET,32,0.0,0.0,33.3
Antonio Blakeney,CHI,21,0.6,1.3,41.7
Antonius Cleveland,ATL,24,0.0,0.2,0.0
Aron Baynes,BOS,31,0.5,0.9,51.5
Arron Afflalo,ORL,32,0.2,0.5,30.8
Austin Rivers,LAC,25,0.1,0.2,35.7
Avery Bradley,LAC,27,0.8,2.0,40.7
Bam Adebayo,MIA,20,0.1,0.2,33.3
Ben McLemore,MEM,25,0.2,0.6,29.0
Ben Moore,IND,22,0.0,0.0,0.0
Ben Simmons,PHI,21,0.2,0.6,35.7
Bismack Biyombo,ORL,25,0.0,0.2,23.1
Blake Griffin,DET,29,0.5,1.5,35.2
Boban Marjanovic,LAC,29,0.0,0.1,25.0
Bobby Brown,HOU,33,0.1,0.2,50.0
Bobby Portis,CHI,23,0.5,1.1,48.7
Bogdan Bogdanovic,SAC,25,0.5,1.1,40.0
Bojan Bogdanovic,IND,28,0.4,0.8,45.8
Bradley Beal,WAS,24,1.3,2.9,44.1
Brandan Wright,HOU,30,0.0,0.1,33.3
Brandon Ingram,LAL,20,1.0,2.3,42.2
Brandon Jennings,MIL,28,0.4,0.6,57.1
Brandon Paul,SAS,26,0.0,0.2,22.2
Briante Weber,MEM,25,0.2,0.4,50.0
Brice Johnson,MEM,23,0.3,0.6,50.0
Brook Lopez,LAL,30,0.2,0.5,42.4
Bruno Caboclo,SAC,22,0.0,0.1,0.0
Bryn Forbes,SAS,24,0.4,1.1,40.8
Buddy Hield,SAC,24,0.8,1.8,45.0
C.J. Williams,LAC,28,0.2,0.6,37.5
CJ McCollum,POR,26,1.4,3.1,43.3
CJ Miles,TOR,31,0.1,0.3,36.8
Caleb Swanigan,POR,20,0.0,0.2,0.0
Cameron Payne,CHI,23,0.3,0.5,60.0
