PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Aaron Brooks,MIN,33,0.1,0.3,25.0
Aaron Gordon,ORL,22,0.2,0.9,21.7
Aaron Harrison,DAL,23,0.0,0.0,0.0
Abdel Nader,BOS,24,0.1,0.4,18.8
Adreian Payne,ORL,27,0.3,0.3,100
Al Horford,BOS,31,0.8,1.9,41.1
Al Jefferson,IND,33,0.7,1.4,48.9
Al-Farouq Aminu,POR,27,0.2,0.7,26.1
Alan Williams,PHX,25,0.8,2.0,37.5
Alec Burks,UTA,26,0.2,0.8,29.2
Alec Peters,PHX,22,0.0,0.0,0.0
Alex Abrines,OKC,24,0.0,0.1,28.6
Alex Caruso,LAL,24,0.1,0.3,37.5
Alex Len,PHX,24,0.1,0.3,29.4
Alex Poythress,IND,24,0.0,0.1,0.0
Alfonzo McKinnie,TOR,25,0.2,0.3,66.7
Allen Crabbe,BKN,25,0.3,0.8,40.7
Amir Johnson,PHI,30,0.4,0.7,48.0
Andre Drummond,DET,24,0.5,1.9,28.6
Andre Iguodala,GSW,34,0.1,0.3,22.7
Andre Roberson,OKC,26,0.0,0.0,0.0
Andrew Bogut,LAL,33,0.1,0.2,50.0
Andrew Harrison,MEM,23,0.2,0.6,37.1
Andrew White III,ATL,24,0.1,0.1,100
Andrew Wiggins,MIN,23,0.9,1.9,45.4
Ante Zizic,CLE,21,0.3,0.5,63.6
Anthony Brown,MIN,25,0.0,0.0,0.0
Anthony Davis,NOP,25,1.2,2.7,42.9
Anthony Tolliver,DET,32,0.0,0.2,23.1
Antonio Blakeney,CHI,21,0.1,0.5,20.0
Antonius Cleveland,ATL,24,0.0,0.0,0.0
Aron Baynes,BOS,31,0.3,0.8,42.4
Arron Afflalo,ORL,32,0.1,0.2,50.0
Austin Rivers,LAC,25,0.4,1.2,33.3
Avery Bradley,LAC,27,0.4,1.1,34.0
Bam Adebayo,MIA,20,0.2,0.6,33.3
Ben McLemore,MEM,25,0.1,0.4,19.0
Ben Moore,IND,22,0.0,0.0,0.0
Ben Simmons,PHI,21,0.9,2.6,35.9
Bismack Biyombo,ORL,25,0.3,0.9,34.3
Blake Griffin,DET,29,0.7,2.2,33.1
Boban Marjanovic,LAC,29,0.4,1.0,41.9
Bobby Brown,HOU,33,0.0,0.1,0.0
Bobby Portis,CHI,23,0.5,1.1,50.7
Bogdan Bogdanovic,SAC,25,0.3,0.7,37.0
Bojan Bogdanovic,IND,28,0.4,0.9,46.4
Bradley Beal,WAS,24,0.4,1.1,36.8
Brandan Wright,HOU,30,0.1,0.5,30.8
Brandon Ingram,LAL,20,0.2,1.0,18.3
Brandon Jennings,MIL,28,0.0,0.3,0.0
Brandon Paul,SAS,26,0.0,0.0,50.0
Briante Weber,MEM,25,0.2,0.5,37.5
Brice Johnson,MEM,23,0.0,0.3,0.0
Brook Lopez,LAL,30,1.0,2.0,48.9
Bruno Caboclo,SAC,22,0.0,0.3,0.0
Bryn Forbes,SAS,24,0.4,0.9,49.2
Buddy Hield,SAC,24,0.3,0.7,37.3
C.J. Williams,LAC,28,0.2,0.6,38.9
CJ McCollum,POR,26,0.9,2.1,42.1
CJ Miles,TOR,31,0.1,0.4,16.0
Caleb Swanigan,POR,20,0.1,0.3,33.3
Cameron Payne,CHI,23,0.4,1.0,35.0
Caris LeVert,BKN,23,0.4,1.2,37.2
Carmelo Anthony,OKC,33,0.3,0.8,33.9
Cedi Osman,CLE,22,0.1,0.2,85.7
Chandler Parsons,MEM,29,0.1,0.3,41.7
Channing Frye,LAL,34,0.1,0.1,100
Charles Cooke,NOP,23,0.1,0.3,50.0
Cheick Diallo,NOP,21,0.3,0.5,47.8
Chris Boucher,GSW,25,-,-,-
Chris McCullough,WAS,23,0.0,0.3,0.0
Chris Paul,HOU,32,0.5,1.1,45.0
Clint Capela,HOU,23,0.3,0.8,34.5
Cody Zeller,CHA,25,0.2,0.5,46.7
Cole Aldrich,MIN,29,0.1,0.3,40.0
Corey Brewer,OKC,32,0.1,0.2,30.8
Cory Joseph,IND,26,0.3,0.6,55.8
Courtney Lee,NYK,32,0.3,0.7,41.5
Cristiano Felicio,CHI,25,0.2,0.4,50.0
D'Angelo Russell,BKN,22,0.7,1.9,35.0
D.J. Augustin,ORL,30,0.1,0.5,28.6
D.J. Wilson,MIL,22,0.2,0.2,100
Dakari Johnson,OKC,22,0.1,0.2,50.0
Damian Jones,GSW,22,0.1,0.3,50.0
Damian Lillard,POR,27,0.5,0.9,50.8
Damien Wilkins,IND,38,0.1,0.2,33.3
Damion Lee,ATL,25,0.4,1.1,36.4
Damyean Dotson,NYK,23,0.1,0.1,50.0
Daniel Hamilton,OKC,22,0.0,0.0,0.0
Daniel Theis,BOS,25,0.1,0.2,41.7
Danilo Gallinari,LAC,29,0.2,0.6,33.3
Danny Green,SAS,30,0.2,0.5,33.3
Dante Cunningham,BKN,30,0.0,0.2,12.5
Dante Exum,UTA,22,0.7,1.0,66.7
Danuel House,PHX,24,0.2,0.4,37.5
Dario Saric,PHI,23,0.3,0.9,35.7
Darius Miller,NOP,28,0.0,0.1,20.0
Darrell Arthur,DEN,30,0.0,0.1,0.0
Darren Collison,IND,30,0.1,0.3,19.0
Darrun Hilliard,SAS,24,0.1,0.4,20.0
David Nwaba,CHI,25,0.3,0.9,31.7
David Stockton,UTA,26,0.0,0.0,0.0
David West,GSW,37,0.3,0.8,38.9
Davis Bertans,SAS,25,0.1,0.2,31.3
Davon Reed,PHX,22,0.1,0.2,25.0
De'Aaron Fox,SAC,20,0.6,1.6,39.3
DeAndre Jordan,LAC,29,0.2,0.5,32.4
DeAndre Liggins,NOP,30,0.1,0.1,60.0
DeAndre' Bembry,ATL,23,0.1,0.5,25.0
DeMar DeRozan,TOR,28,1.0,2.1,47.5
DeMarcus Cousins,NOP,27,0.6,1.6,37.3
DeMarre Carroll,BKN,31,0.4,1.1,34.1
Dejounte Murray,SAS,21,0.4,1.1,40.2
Delon Wright,TOR,25,0.2,0.6,29.7
Demetrius Jackson,PHI,23,0.0,0.0,0.0
Dennis Schroder,ATL,24,0.4,1.1,37.0
Dennis Smith Jr.,DAL,20,0.2,0.8,22.6
Denzel Valentine,CHI,24,0.4,0.8,42.2
Derrick Favors,UTA,26,0.4,0.9,38.8
Derrick Jones Jr.,MIA,21,0.2,0.4,57.1
Derrick Rose,MIN,29,0.2,0.9,21.1
Derrick Walton Jr.,MIA,23,0.0,0.0,0.0
Derrick White,SAS,23,0.1,0.2,33.3
Derrick Williams,LAL,26,0.0,1.0,0.0
Devin Booker,PHX,21,0.7,2.1,33.3
Devin Harris,DEN,35,0.1,0.5,19.4
Dewayne Dedmon,ATL,28,0.3,0.7,50.0
Deyonta Davis,MEM,21,0.1,0.4,34.8
Dillon Brooks,MEM,22,0.4,0.9,45.8
Dion Waiters,MIA,26,0.2,0.6,26.3
Dirk Nowitzki,DAL,39,0.1,0.2,42.9
Domantas Sabonis,IND,21,0.5,1.2,40.2
Donovan Mitchell,UTA,21,0.6,1.5,40.7
Dorian Finney-Smith,DAL,24,0.1,0.2,25.0
Doug McDermott,DAL,26,0.1,0.3,42.3
Dragan Bender,PHX,20,0.1,0.4,26.7
Draymond Green,GSW,28,0.2,0.6,40.0
Dwayne Bacon,CHA,22,0.1,0.3,37.5
Dwight Buycks,DET,29,0.1,0.5,23.1
Dwight Howard,CHA,32,0.7,2.0,35.9
Dwight Powell,DAL,26,0.1,0.3,28.0
Dwyane Wade,MIA,36,0.4,1.1,40.3
E'Twaun Moore,NOP,29,1.0,1.8,56.4
Ed Davis,POR,28,0.2,0.5,40.5
Ekpe Udoh,UTA,30,0.2,0.5,35.7
Elfrid Payton,PHX,24,0.6,1.6,36.3
Emeka Okafor,NOP,35,0.2,0.5,33.3
Emmanuel Mudiay,NYK,22,0.2,0.8,29.4
Enes Kanter,NYK,25,0.9,1.9,48.5
Eric Bledsoe,MIL,28,0.4,1.0,39.4
