PLAYER,TEAM,AGE,2FGA,2FGPercent,3PA,3PPercent
Russell Westbrook,OKC,29,381,48.8,173,27.7
LeBron James,CLE,33,307,54.7,193,33.2
James Harden,HOU,28,134,61.9,364,38.2
Victor Oladipo,IND,25,256,54.7,219,39.7
CJ McCollum,POR,26,276,55.1,185,41.6
Bradley Beal,WAS,24,245,51.8,196,33.7
Kemba Walker,CHA,27,212,49.1,229,37.1
Damian Lillard,POR,27,178,55.6,257,35.8
Paul George,OKC,27,197,41.1,237,38.0
Lou Williams,LAC,31,195,54.4,238,37.0
DeMar DeRozan,TOR,28,262,48.5,134,30.6
Khris Middleton,MIL,26,219,60.7,160,36.3
Donovan Mitchell,UTA,21,152,56.6,213,34.3
Goran Dragic,MIA,31,215,51.2,149,38.9
Carmelo Anthony,OKC,33,178,42.7,179,31.3
Harrison Barnes,DAL,25,248,48.4,104,30.8
Klay Thompson,GSW,28,154,45.5,197,41.6
Chris Paul,HOU,32,149,55.0,198,41.4
Kevin Durant,GSW,29,175,66.3,165,38.8
Jrue Holiday,NOP,27,203,58.1,125,32.0
Devin Booker,PHX,21,141,46.1,179,40.2
Andrew Wiggins,MIN,23,196,40.3,123,38.2
Giannis Antetokounmpo,MIL,23,291,46.7,26,26.9
Tobias Harris,LAC,25,125,50.4,192,38.5
Gary Harris,DEN,23,120,56.7,196,37.2
Anthony Davis,NOP,25,284,52.8,31,29.0
Dennis Smith Jr.,DAL,20,153,43.8,154,29.2
Eric Bledsoe,MIL,28,174,55.7,131,29.8
Dennis Schroder,ATL,24,198,53.0,103,25.2
Otto Porter Jr.,WAS,24,175,56.6,125,44.8
Kyle Kuzma,LAL,22,105,52.4,194,36.1
Tim Hardaway Jr.,NYK,26,91,56.0,206,31.1
Kyrie Irving,BOS,26,122,68.0,170,44.1
Kyle Lowry,TOR,32,67,49.3,224,38.8
Buddy Hield,SAC,24,142,52.8,148,43.2
Jordan Clarkson,CLE,25,160,55.6,130,31.5
Taurean Prince,ATL,24,107,57.0,182,37.4
Jamal Murray,DEN,21,145,53.8,141,34.0
Joel Embiid,PHI,24,246,54.9,35,25.7
Will Barton,DEN,27,90,56.7,189,29.6
Robert Covington,PHI,27,60,45.0,217,38.2
Bogdan Bogdanovic,SAC,25,128,50.0,146,39.7
Blake Griffin,DET,29,130,43.8,143,35.7
Justin Holiday,CHI,28,94,47.9,175,32.0
JJ Redick,PHI,33,123,50.4,145,33.1
LaMarcus Aldridge,SAS,32,251,51.0,15,40.0
Jimmy Butler,MIN,28,186,53.2,79,36.7
Dirk Nowitzki,DAL,39,129,52.7,136,36.0
Spencer Dinwiddie,BKN,24,71,46.5,189,31.2
Stephen Curry,GSW,30,71,62.0,188,43.1
Josh Richardson,MIA,24,110,55.5,145,37.9
Ish Smith,DET,29,232,49.6,22,31.8
TJ Warren,PHX,24,223,59.6,30,16.7
Eric Gordon,HOU,29,49,55.1,203,26.1
Troy Daniels,PHX,26,29,44.8,221,40.3
Lauri Markkanen,CHI,20,87,52.9,163,28.2
Evan Fournier,ORL,25,104,58.7,145,32.4
Terry Rozier,BOS,24,101,47.5,146,39.0
Nikola Jokic,DEN,23,124,58.1,122,39.3
Dario Saric,PHI,23,93,51.6,151,37.1
Marc Gasol,MEM,33,204,43.6,40,22.5
DeMarre Carroll,BKN,31,62,67.7,181,36.5
Marco Belinelli,PHI,32,107,57.9,135,43.0
Yogi Ferrell,DAL,24,109,52.3,133,36.1
Jamal Crawford,MIN,38,115,55.7,126,38.9
J.J. Barea,DAL,33,94,50.0,146,33.6
Allen Crabbe,BKN,25,61,45.9,178,38.2
Nikola Mirotic,NOP,27,79,54.4,155,35.5
Dillon Brooks,MEM,22,131,45.8,101,39.6
Karl-Anthony Towns,MIN,22,154,55.8,77,36.4
Austin Rivers,LAC,25,61,55.7,170,37.1
Tyreke Evans,MEM,28,92,52.2,138,41.3
Ricky Rubio,UTA,27,167,46.7,63,31.7
John Wall,WAS,27,150,36.0,78,38.5
Jae Crowder,UTA,27,103,51.5,124,33.1
JR Smith,CLE,32,75,52.0,151,41.1
Aaron Gordon,ORL,22,126,51.6,98,30.6
Rodney Hood,CLE,25,86,53.5,137,32.1
Wayne Ellington,MIA,30,26,46.2,197,38.1
Bojan Bogdanovic,IND,28,89,57.3,133,36.8
Wesley Matthews,DAL,31,86,44.2,136,35.3
E'Twaun Moore,NOP,29,112,60.7,104,36.5
Lance Stephenson,IND,27,147,53.1,69,30.4
Tyler Johnson,MIA,25,98,49.0,116,41.4
De'Aaron Fox,SAC,20,171,39.2,41,34.1
Patty Mills,SAS,29,76,43.4,132,34.8
Josh Jackson,PHX,21,126,50.0,81,24.7
Kristaps Porzingis,NYK,22,101,43.6,104,37.5
Kentavious Caldwell-Pope,LAL,25,82,48.8,122,36.1
Denzel Valentine,CHI,24,99,46.5,105,35.2
Courtney Lee,NYK,32,120,45.0,80,37.5
Dwyane Wade,MIA,36,149,43.6,48,22.9
Jeremy Lamb,CHA,25,104,45.2,92,41.3
D'Angelo Russell,BKN,22,83,45.8,113,29.2
Kelly Oubre Jr.,WAS,22,67,44.8,129,30.2
Joe Ingles,UTA,30,54,53.7,141,39.7
Rondae Hollis-Jefferson,BKN,23,187,55.6,7,0.0
Jayson Tatum,BOS,20,125,55.2,69,39.1
Shabazz Napier,POR,26,105,50.5,88,37.5
Bobby Portis,CHI,23,115,52.2,78,32.1
Serge Ibaka,TOR,28,112,55.4,80,36.3
Darren Collison,IND,30,130,59.2,61,42.6
Kevin Love,CLE,29,95,47.4,95,33.7
Wilson Chandler,DEN,30,67,56.7,122,31.1
Zach Randolph,SAC,36,152,48.7,36,25.0
Cory Joseph,IND,26,128,46.9,60,30.0
Ben Simmons,PHI,21,183,60.7,3,0.0
Kris Dunn,CHI,24,158,44.3,28,32.1
Brandon Ingram,LAL,20,153,50.3,32,37.5
Lonzo Ball,LAL,20,57,59.6,128,30.5
CJ Miles,TOR,31,23,43.5,161,36.6
Nick Young,GSW,32,48,39.6,135,39.3
Nicolas Batum,CHA,29,96,49.0,86,27.9
Jonathon Simmons,ORL,28,95,58.9,86,40.7
Darius Miller,NOP,28,49,59.2,131,41.2
Jaylen Brown,BOS,21,69,62.3,111,32.4
Joe Harris,BKN,26,39,64.1,140,45.0
Trevor Ariza,HOU,32,24,70.8,155,35.5
Avery Bradley,LAC,27,112,42.0,67,25.4
Kent Bazemore,ATL,28,89,47.2,88,31.8
Marcus Morris,BOS,28,104,54.8,71,45.1
DeMarcus Cousins,NOP,27,75,61.3,100,27.0
Emmanuel Mudiay,NYK,22,114,40.4,61,27.9
Ersan Ilyasova,PHI,30,74,58.1,99,38.4
Nikola Vucevic,ORL,27,137,49.6,36,19.4
Kyle Korver,CLE,37,22,63.6,150,44.7
Jerian Grant,CHI,25,101,51.5,71,33.8
Evan Turner,POR,29,151,45.7,21,23.8
Garrett Temple,SAC,31,83,42.2,85,37.6
Raymond Felton,OKC,33,99,43.4,68,35.3
Caris LeVert,BKN,23,95,48.4,71,39.4
D.J. Augustin,ORL,30,41,56.1,122,49.2
Bryn Forbes,SAS,24,71,40.8,92,38.0
Jeff Teague,MIN,29,102,51.0,58,31.0
Reggie Jackson,DET,27,90,45.6,69,21.7
Danny Green,SAS,30,54,50.0,104,34.6
Ryan Anderson,HOU,29,38,44.7,117,34.2
