PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Aaron Brooks,MIN,33,0.3,0.6,46.7
Aaron Gordon,ORL,22,3.3,5.0,66.3
Aaron Harrison,DAL,23,0.6,0.6,100
Abdel Nader,BOS,24,0.4,1.0,40.0
Adreian Payne,ORL,27,0.4,0.4,100
Al Horford,BOS,31,2.0,2.9,67.9
Al Jefferson,IND,33,1.3,2.1,61.1
Al-Farouq Aminu,POR,27,1.2,2.1,58.1
Alan Williams,PHX,25,1.0,1.8,57.1
Alec Burks,UTA,26,1.2,2.1,56.9
Alec Peters,PHX,22,0.3,0.4,66.7
Alex Abrines,OKC,24,0.3,0.6,52.5
Alex Caruso,LAL,24,0.7,1.1,69.7
Alex Len,PHX,24,2.7,4.4,60.6
Alex Poythress,IND,24,0.3,0.5,63.6
Alfonzo McKinnie,TOR,25,0.1,0.1,100
Allen Crabbe,BKN,25,0.8,1.2,69.0
Amir Johnson,PHI,30,1.2,1.9,63.4
Andre Drummond,DET,24,5.2,8.6,60.7
Andre Iguodala,GSW,34,1.3,1.8,74.3
Andre Roberson,OKC,26,2.0,3.2,63.7
Andrew Bogut,LAL,33,0.6,0.8,77.8
Andrew Harrison,MEM,23,1.5,2.6,55.8
Andrew White III,ATL,24,0.3,0.9,33.3
Andrew Wiggins,MIN,23,3.0,4.5,66.2
Ante Zizic,CLE,21,1.4,1.8,78.0
Anthony Brown,MIN,25,0.0,0.0,0.0
Anthony Davis,NOP,25,6.1,8.5,72.1
Anthony Tolliver,DET,32,0.6,0.9,63.2
Antonio Blakeney,CHI,21,0.8,1.6,51.6
Antonius Cleveland,ATL,24,0.2,0.5,40.0
Aron Baynes,BOS,31,1.2,2.3,52.0
Arron Afflalo,ORL,32,0.3,0.5,60.9
Austin Rivers,LAC,25,2.7,5.0,53.3
Avery Bradley,LAC,27,2.1,3.8,55.5
Bam Adebayo,MIA,20,2.2,3.7,59.8
Ben McLemore,MEM,25,1.1,2.0,56.0
Ben Moore,IND,22,0.0,0.0,0.0
Ben Simmons,PHI,21,4.9,7.1,69.3
Bismack Biyombo,ORL,25,1.7,2.7,62.0
Blake Griffin,DET,29,4.0,6.4,62.6
Boban Marjanovic,LAC,29,1.5,2.5,60.0
Bobby Brown,HOU,33,0.2,0.4,57.1
Bobby Portis,CHI,23,2.3,4.3,53.4
Bogdan Bogdanovic,SAC,25,1.1,1.9,57.6
Bojan Bogdanovic,IND,28,1.9,3.2,61.2
Bradley Beal,WAS,24,2.9,4.5,64.0
Brandan Wright,HOU,30,1.8,2.7,66.7
Brandon Ingram,LAL,20,3.5,5.8,59.8
Brandon Jennings,MIL,28,0.5,0.7,62.5
Brandon Paul,SAS,26,0.6,0.9,65.3
Briante Weber,MEM,25,0.4,0.8,50.0
Brice Johnson,MEM,23,0.9,1.3,66.7
Brook Lopez,LAL,30,1.9,2.7,70.9
Bruno Caboclo,SAC,22,0.3,0.5,60.0
Bryn Forbes,SAS,24,0.3,0.6,54.5
Buddy Hield,SAC,24,1.4,2.4,56.9
