PLAYER,TEAM,AGE,2FGA,2FGPercent,3PA,3PPercent
Marc Gasol,MEM,33,93,58.1,264,36.0
Eric Gordon,HOU,29,15,66.7,316,44.3
Bradley Beal,WAS,24,100,63.0,218,45.9
Joe Ingles,UTA,30,19,63.2,282,47.5
Paul George,OKC,27,62,46.8,231,47.2
Donovan Mitchell,UTA,21,54,63.0,238,35.3
Ricky Rubio,UTA,27,102,47.1,185,35.7
Denzel Valentine,CHI,24,42,38.1,239,42.3
Jamal Murray,DEN,21,54,61.1,225,43.6
Kemba Walker,CHA,27,65,56.9,201,45.3
Kelly Olynyk,MIA,26,55,54.5,210,40.5
Harrison Barnes,DAL,25,65,50.8,194,39.2
Buddy Hield,SAC,24,51,54.9,207,46.4
Eric Bledsoe,MIL,28,72,70.8,184,40.8
Nikola Vucevic,ORL,27,94,59.6,161,35.4
Dario Saric,PHI,23,50,48.0,202,44.1
Wesley Matthews,DAL,31,26,38.5,226,41.6
Myles Turner,IND,22,123,50.4,126,41.3
Kentavious Caldwell-Pope,LAL,25,49,63.3,199,43.7
Brook Lopez,LAL,30,13,38.5,233,36.1
Stephen Curry,GSW,30,37,73.0,208,47.1
Klay Thompson,GSW,28,61,68.9,179,52.0
Tobias Harris,LAC,25,44,70.5,196,45.9
Patty Mills,SAS,29,52,63.5,188,40.4
Jrue Holiday,NOP,27,35,57.1,201,35.3
Yogi Ferrell,DAL,24,50,44.0,182,38.5
Al Horford,BOS,31,59,52.5,171,43.3
Blake Griffin,DET,29,62,35.5,168,36.3
PJ Tucker,HOU,32,19,36.8,210,37.1
Ryan Anderson,HOU,29,10,90.0,218,41.3
Aaron Gordon,ORL,22,36,52.8,191,39.3
Taurean Prince,ATL,24,37,48.6,190,39.5
JJ Redick,PHI,33,60,50.0,166,46.4
Kyle Kuzma,LAL,22,36,61.1,190,38.9
Joel Embiid,PHI,24,60,51.7,164,32.9
Karl-Anthony Towns,MIN,22,32,68.8,190,45.8
Bojan Bogdanovic,IND,28,29,65.5,193,42.5
Serge Ibaka,TOR,28,47,61.7,175,35.4
CJ McCollum,POR,26,70,54.3,151,45.0
Damian Lillard,POR,27,67,53.7,153,41.2
Trevor Ariza,HOU,32,9,77.8,210,43.3
Carmelo Anthony,OKC,33,40,57.5,178,43.3
Al-Farouq Aminu,POR,27,12,50.0,203,39.4
Dragan Bender,PHX,20,7,42.9,208,33.7
Victor Oladipo,IND,25,90,63.3,123,35.8
Kent Bazemore,ATL,28,46,60.9,167,43.1
Frank Kaminsky,CHA,24,23,47.8,190,42.6
Gary Harris,DEN,23,52,71.2,160,43.8
Kelly Oubre Jr.,WAS,22,25,72.0,187,38.0
Anthony Davis,NOP,25,97,51.5,115,32.2
Otto Porter Jr.,WAS,24,56,55.4,154,43.5
Kyle Lowry,TOR,32,18,61.1,191,47.6
Andrew Wiggins,MIN,23,38,57.9,170,31.8
Lou Williams,LAC,31,53,45.3,153,36.6
Tyler Johnson,MIA,25,33,42.4,172,35.5
DeMarcus Cousins,NOP,27,24,29.2,180,42.2
Justin Holiday,CHI,28,23,56.5,180,40.0
Draymond Green,GSW,28,28,71.4,175,33.1
Terry Rozier,BOS,24,22,50.0,179,39.1
LeBron James,CLE,33,70,60.0,130,43.8
Giannis Antetokounmpo,MIL,23,101,52.5,96,35.4
Kevin Love,CLE,29,23,56.5,173,48.0
Josh Richardson,MIA,24,44,77.3,152,38.8
Allen Crabbe,BKN,25,33,48.5,163,38.0
Courtney Lee,NYK,32,41,65.9,154,40.9
Evan Fournier,ORL,25,37,45.9,156,44.9
Lauri Markkanen,CHI,20,15,46.7,177,43.5
Dennis Smith Jr.,DAL,20,57,50.9,135,37.0
Khris Middleton,MIL,26,35,74.3,156,36.5
Dennis Schroder,ATL,24,49,55.1,141,30.5
Russell Westbrook,OKC,29,103,64.1,85,36.5
Marquese Chriss,PHX,20,27,59.3,161,30.4
J.J. Barea,DAL,33,44,52.3,141,39.7
Thaddeus Young,IND,29,43,65.1,142,32.4
Darren Collison,IND,30,72,62.5,111,48.6
Wayne Ellington,MIA,30,9,44.4,173,42.2
Robert Covington,PHI,27,29,79.3,152,38.8
Marvin Williams,CHA,31,7,71.4,173,44.5
Reggie Bullock,DET,27,30,83.3,149,45.6
LaMarcus Aldridge,SAS,32,118,48.3,61,32.8
