PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Aaron Brooks,MIN,33,0.3,0.5,55.6
Aaron Gordon,ORL,22,0.4,1.2,33.3
Aaron Harrison,DAL,23,0.0,0.2,0.0
Abdel Nader,BOS,24,0.0,0.1,33.3
Adreian Payne,ORL,27,0.0,0.0,0.0
Al Horford,BOS,31,0.5,1.4,37.0
Al Jefferson,IND,33,0.6,1.0,63.6
Al-Farouq Aminu,POR,27,0.0,0.2,18.2
Alan Williams,PHX,25,0.0,0.8,0.0
Alec Burks,UTA,26,0.2,0.7,33.3
Alec Peters,PHX,22,0.0,0.0,0.0
Alex Abrines,OKC,24,0.1,0.1,62.5
Alex Caruso,LAL,24,0.1,0.3,22.2
Alex Len,PHX,24,0.1,0.3,50.0
Alex Poythress,IND,24,0.0,0.0,0.0
Alfonzo McKinnie,TOR,25,0.0,0.0,0.0
Allen Crabbe,BKN,25,0.2,0.6,33.3
Amir Johnson,PHI,30,0.0,0.1,11.1
Andre Drummond,DET,24,0.2,0.6,28.3
Andre Iguodala,GSW,34,0.1,0.3,36.8
Andre Roberson,OKC,26,0.0,0.0,0.0
Andrew Bogut,LAL,33,0.0,0.1,0.0
Andrew Harrison,MEM,23,0.2,0.4,37.5
Andrew White III,ATL,24,0.1,0.2,33.3
Andrew Wiggins,MIN,23,0.7,1.9,35.6
Ante Zizic,CLE,21,0.0,0.2,25.0
Anthony Brown,MIN,25,0.0,0.0,0.0
Anthony Davis,NOP,25,1.2,2.6,45.0
Anthony Tolliver,DET,32,0.0,0.1,42.9
Antonio Blakeney,CHI,21,0.2,0.6,33.3
Antonius Cleveland,ATL,24,0.0,0.2,0.0
Aron Baynes,BOS,31,0.4,0.9,44.3
Arron Afflalo,ORL,32,0.1,0.4,27.8
Austin Rivers,LAC,25,0.3,0.8,33.3
Avery Bradley,LAC,27,0.4,1.1,33.3
Bam Adebayo,MIA,20,0.1,0.4,24.0
Ben McLemore,MEM,25,0.2,0.3,66.7
Ben Moore,IND,22,0.0,0.0,0.0
Ben Simmons,PHI,21,0.7,2.0,32.0
Bismack Biyombo,ORL,25,0.1,0.4,31.3
Blake Griffin,DET,29,0.1,0.8,18.2
Boban Marjanovic,LAC,29,0.1,0.3,33.3
Bobby Brown,HOU,33,0.1,0.4,40.0
Bobby Portis,CHI,23,0.4,0.9,47.5
Bogdan Bogdanovic,SAC,25,0.5,1.0,48.7
Bojan Bogdanovic,IND,28,0.4,0.8,45.3
Bradley Beal,WAS,24,0.9,2.0,42.9
Brandan Wright,HOU,30,0.1,0.4,36.4
Brandon Ingram,LAL,20,0.4,1.3,31.6
Brandon Jennings,MIL,28,0.2,0.5,33.3
Brandon Paul,SAS,26,0.0,0.1,20.0
Briante Weber,MEM,25,0.1,0.2,33.3
Brice Johnson,MEM,23,0.1,0.1,100
Brook Lopez,LAL,30,0.5,1.3,37.6
Bruno Caboclo,SAC,22,0.4,0.6,60.0
Bryn Forbes,SAS,24,0.2,0.6,39.5
Buddy Hield,SAC,24,0.3,0.9,33.3
C.J. Williams,LAC,28,0.3,0.6,52.6
CJ McCollum,POR,26,1.2,2.4,50.8
CJ Miles,TOR,31,0.1,0.2,46.2
Caleb Swanigan,POR,20,0.1,0.1,50.0
Cameron Payne,CHI,23,0.0,0.3,0.0
Caris LeVert,BKN,23,0.4,0.9,38.7
Carmelo Anthony,OKC,33,1.0,2.2,45.4
Cedi Osman,CLE,22,0.1,0.1,66.7
Chandler Parsons,MEM,29,0.3,0.5,50.0
Channing Frye,LAL,34,0.1,0.1,50.0
Charles Cooke,NOP,23,0.0,0.0,0.0
Cheick Diallo,NOP,21,0.3,0.6,50.0
Chris Boucher,GSW,25,-,-,-
Chris McCullough,WAS,23,0.3,0.5,71.4
Chris Paul,HOU,32,1.1,2.4,46.6
