PLAYER,TEAM,AGE,DIFFPercent
Jrue Holiday,NOP,27,-1.2
Andrew Wiggins,MIN,23,0.8
Kristaps Porzingis,NYK,22,0.8
Victor Oladipo,IND,25,-1.7
Blake Griffin,DET,29,-2.5
Corey Brewer,OKC,32,8.2
Kemba Walker,CHA,27,-0.5
Paul George,OKC,27,1.6
Thaddeus Young,IND,29,-0.2
Tobias Harris,LAC,25,-0.2
Bradley Beal,WAS,24,-1.9
Anthony Davis,NOP,25,-3.5
MarShon Brooks,MEM,29,14.6
Marquis Teague,MEM,25,-8.0
Tim Hardaway Jr.,NYK,26,0.4
James Harden,HOU,28,2.7
De'Aaron Fox,SAC,20,3.1
Kris Dunn,CHI,24,0.9
Brandon Ingram,LAL,20,-4.9
Khris Middleton,MIL,26,3.4
Dillon Brooks,MEM,22,2.8
Devin Booker,PHX,21,2.9
Justin Holiday,CHI,28,-1.6
Ben Simmons,PHI,21,-7.5
Dennis Smith Jr.,DAL,20,-3.2
Dennis Schroder,ATL,24,1.8
Taj Gibson,MIN,32,1.3
Draymond Green,GSW,28,-1.4
Tyrone Wallace,LAC,23,-10.4
Mike Conley,MEM,30,-4.8
Jimmy Butler,MIN,28,-1.1
Andre Roberson,OKC,26,-2.9
Paul Millsap,DEN,33,0.5
Patrick Beverley,LAC,29,5.1
Robert Covington,PHI,27,-2.4
Kevin Durant,GSW,29,-1.9
Eric Bledsoe,MIL,28,2.4
Steven Adams,OKC,24,1.8
Denzel Valentine,CHI,24,0.0
Lonzo Ball,LAL,20,-2.7
Danilo Gallinari,LAC,29,-2.4
Avery Bradley,LAC,27,2.5
Jeff Teague,MIN,29,1.2
LeBron James,CLE,33,0.5
Giannis Antetokounmpo,MIL,23,-3.6
Cory Joseph,IND,26,-2.0
JR Smith,CLE,32,-2.1
Jamal Murray,DEN,21,3.2
Jeremy Lamb,CHA,25,0.0
Carmelo Anthony,OKC,33,-2.6
Jarrett Jack,NYK,34,1.9
Tyreke Evans,MEM,28,-2.5
Harrison Barnes,DAL,25,-1.4
CJ McCollum,POR,26,0.4
Reggie Jackson,DET,27,2.5
Damian Lillard,POR,27,-1.5
Marcus Smart,BOS,24,-5.7
Lou Williams,LAC,31,-1.1
Jeremy Lin,BKN,29,-11.6
Luol Deng,LAL,32,38.4
Kyle Lowry,TOR,32,-3.1
Dragan Bender,PHX,20,2.1
Michael Kidd-Gilchrist,CHA,24,5.6
Darren Collison,IND,30,1.5
Donovan Mitchell,UTA,21,-3.2
Elfrid Payton,PHX,24,1.2
Chris Paul,HOU,32,-0.8
Josh Richardson,MIA,24,2.7
David Nwaba,CHI,25,1.4
George Hill,CLE,31,0.6
Gary Harris,DEN,23,-2.8
Dario Saric,PHI,23,-1.2
Cameron Payne,CHI,23,-9.8
Garrett Temple,SAC,31,3.5
Jaylen Brown,BOS,21,-5.5
Nikola Mirotic,NOP,27,-1.2
TJ Warren,PHX,24,-0.8
Klay Thompson,GSW,28,2.4
Xavier Rathan-Mayes,MEM,23,18.1
John Wall,WAS,27,-6.0
Al Horford,BOS,31,-4.2
Wilson Chandler,DEN,30,1.5
Wesley Matthews,DAL,31,-3.2
Jae Crowder,UTA,27,4.0
Kentavious Caldwell-Pope,LAL,25,0.2
Danny Green,SAS,30,-2.4
Taurean Prince,ATL,24,-2.6
Will Barton,DEN,27,0.1
Reggie Bullock,DET,27,-2.4
Dion Waiters,MIA,26,-0.9
Bojan Bogdanovic,IND,28,1.6
Courtney Lee,NYK,32,0.3
Kyle Kuzma,LAL,22,-0.8
Caris LeVert,BKN,23,6.3
Austin Rivers,LAC,25,0.1
Ish Smith,DET,29,-0.4
Bogdan Bogdanovic,SAC,25,3.9
Isaiah Thomas,LAL,29,-3.0
Jonathon Simmons,ORL,28,2.0
Evan Fournier,ORL,25,-0.2
PJ Tucker,HOU,32,0.3
Markelle Fultz,PHI,19,-7.5
Kent Bazemore,ATL,28,5.8
Buddy Hield,SAC,24,-2.1
Willie Cauley-Stein,SAC,24,2.9
James Johnson,MIA,31,-1.2
Eric Gordon,HOU,29,-6.1
Al-Farouq Aminu,POR,27,-2.1
Jeff Green,CLE,31,-1.2
Kelly Oubre Jr.,WAS,22,0.6
Antonio Blakeney,CHI,21,-6.0
Stephen Curry,GSW,30,0.4
Yogi Ferrell,DAL,24,-0.3
LaMarcus Aldridge,SAS,32,3.2
Joe Ingles,UTA,30,1.9
E'Twaun Moore,NOP,29,3.3
Aaron Harrison,DAL,23,0.9
Justise Winslow,MIA,22,-7.9
Jayson Tatum,BOS,20,0.1
Andrew Harrison,MEM,23,2.8
Frank Kaminsky,CHA,24,6.3
Malcolm Brogdon,MIL,25,2.6
Otto Porter Jr.,WAS,24,2.2
Tyler Johnson,MIA,25,-2.7
Jerian Grant,CHI,25,2.3
Luc Mbah a Moute,HOU,31,-4.0
Kyle Korver,CLE,37,-1.5
Damion Lee,ATL,25,-14.9
Kyrie Irving,BOS,26,-1.0
Trevor Ariza,HOU,32,-7.1
Milos Teodosic,LAC,31,1.9
Markieff Morris,WAS,28,-3.4
Jerryd Bayless,PHI,29,0.6
Nicolas Batum,CHA,29,8.2
Julius Randle,LAL,23,-1.2
Russell Westbrook,OKC,29,-0.5
Josh Jackson,PHX,21,0.0
Terrence Ross,ORL,27,-3.9
J.J. Barea,DAL,33,6.3
Karl-Anthony Towns,MIN,22,2.8
JJ Redick,PHI,33,-0.4
DeMarre Carroll,BKN,31,0.6
Nikola Jokic,DEN,23,1.7
Ricky Rubio,UTA,27,7.9
Evan Turner,POR,29,-1.8
Dwight Powell,DAL,26,-0.7
Dewayne Dedmon,ATL,28,-1.5
Josh Hart,LAL,23,-1.2
Terry Rozier,BOS,24,-2.9
Dwyane Wade,MIA,36,-4.1
Andre Iguodala,GSW,34,-7.8
Rajon Rondo,NOP,32,-0.3
Stanley Johnson,DET,21,0.9
C.J. Williams,LAC,28,4.9
JaMychal Green,MEM,27,2.5
Rudy Gay,SAS,31,-0.3
Wayne Ellington,MIA,30,4.4
Clint Capela,HOU,23,2.0
Jarell Martin,MEM,23,-2.4
Michael Beasley,NYK,29,5.9
DeMarcus Cousins,NOP,27,3.8
Spencer Dinwiddie,BKN,24,0.8
Wesley Johnson,LAC,30,1.5
Joe Johnson,HOU,36,-3.5
Marvin Williams,CHA,31,-5.5
Dejounte Murray,SAS,21,1.8
Skal Labissiere,SAC,22,0.2
Marco Belinelli,PHI,32,0.8
Iman Shumpert,SAC,27,1.6
Jabari Parker,MIL,23,-5.1
Aaron Gordon,ORL,22,-4.4
Kawhi Leonard,SAS,26,-14.6
Tony Snell,MIL,26,4.2
Jordan Clarkson,CLE,25,0.1
Darius Miller,NOP,28,-1.2
Tomas Satoransky,WAS,26,-6.6
Thabo Sefolosha,UTA,33,1.3
Serge Ibaka,TOR,28,2.0
Mike Muscala,ATL,26,4.5
Shelvin Mack,ORL,27,6.0
Marcus Morris,BOS,28,-1.6
Mario Hezonja,ORL,23,1.0
Nemanja Bjelica,MIN,29,-3.1
Tristan Thompson,CLE,27,2.5
