PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Aaron Brooks,MIN,33,0.3,0.5,54.5
Aaron Gordon,ORL,22,0.7,2.0,36.4
Aaron Harrison,DAL,23,0.2,1.8,11.1
Abdel Nader,BOS,24,0.3,0.8,38.7
Adreian Payne,ORL,27,1.0,1.3,75.0
Al Horford,BOS,31,0.5,1.2,39.8
Al Jefferson,IND,33,0.0,0.2,20.0
Al-Farouq Aminu,POR,27,1.0,2.5,42.4
Alan Williams,PHX,25,0.0,0.0,0.0
Alec Burks,UTA,26,0.4,1.1,38.2
Alec Peters,PHX,22,0.1,1.0,13.3
Alex Abrines,OKC,24,0.6,1.5,37.9
Alex Caruso,LAL,24,0.0,0.3,11.1
Alex Len,PHX,24,0.0,0.1,0.0
Alex Poythress,IND,24,0.1,0.2,50.0
Alfonzo McKinnie,TOR,25,0.2,0.4,50.0
Allen Crabbe,BKN,25,1.1,3.3,34.5
Amir Johnson,PHI,30,0.1,0.2,33.3
Andre Drummond,DET,24,0.0,0.0,0.0
Andre Iguodala,GSW,34,0.2,0.7,28.6
Andre Roberson,OKC,26,0.1,0.7,19.2
Andrew Bogut,LAL,33,0.0,0.0,0.0
Andrew Harrison,MEM,23,0.4,1.4,30.9
Andrew White III,ATL,24,0.7,1.8,37.5
Andrew Wiggins,MIN,23,0.9,2.6,35.0
Ante Zizic,CLE,21,0.0,0.0,0.0
Anthony Brown,MIN,25,1.0,1.0,100
Anthony Davis,NOP,25,0.5,1.5,32.7
Anthony Tolliver,DET,32,0.7,1.7,39.8
Antonio Blakeney,CHI,21,0.9,2.3,40.5
Antonius Cleveland,ATL,24,0.2,0.5,40.0
Aron Baynes,BOS,31,0.1,0.3,26.1
Arron Afflalo,ORL,32,0.3,0.9,34.9
Austin Rivers,LAC,25,0.8,2.0,39.8
Avery Bradley,LAC,27,1.2,3.3,36.4
Bam Adebayo,MIA,20,0.0,0.0,0.0
Ben McLemore,MEM,25,0.5,1.5,35.1
Ben Moore,IND,22,0.0,0.0,0.0
Ben Simmons,PHI,21,0.0,0.0,33.3
Bismack Biyombo,ORL,25,0.0,0.0,0.0
Blake Griffin,DET,29,0.9,2.5,34.7
Boban Marjanovic,LAC,29,0.0,0.0,0.0
Bobby Brown,HOU,33,0.2,0.4,57.1
Bobby Portis,CHI,23,0.6,1.7,34.5
Bogdan Bogdanovic,SAC,25,1.2,2.3,51.2
Bojan Bogdanovic,IND,28,0.8,2.0,41.6
Bradley Beal,WAS,24,1.1,2.8,40.8
Brandan Wright,HOU,30,0.0,0.0,0.0
Brandon Ingram,LAL,20,0.7,1.6,45.3
Brandon Jennings,MIL,28,0.2,0.5,33.3
Brandon Paul,SAS,26,0.1,0.5,26.9
Briante Weber,MEM,25,0.1,0.3,50.0
Brice Johnson,MEM,23,0.0,0.4,0.0
Brook Lopez,LAL,30,0.5,1.1,42.7
Bruno Caboclo,SAC,22,0.2,1.2,18.2
Bryn Forbes,SAS,24,0.7,1.6,40.5
Buddy Hield,SAC,24,1.3,2.9,42.9
C.J. Williams,LAC,28,0.4,1.3,30.8
CJ McCollum,POR,26,1.3,3.2,39.8
CJ Miles,TOR,31,0.9,2.5,37.7
Caleb Swanigan,POR,20,0.0,0.3,0.0
Cameron Payne,CHI,23,0.5,1.2,41.7
Caris LeVert,BKN,23,0.5,1.5,34.0
Carmelo Anthony,OKC,33,1.3,3.6,35.7
Cedi Osman,CLE,22,0.4,1.0,38.0
Chandler Parsons,MEM,29,0.8,1.4,53.8
Channing Frye,LAL,34,0.4,1.2,35.2
Charles Cooke,NOP,23,0.1,0.4,25.0
Cheick Diallo,NOP,21,0.0,0.1,0.0
Chris Boucher,GSW,25,0.0,1.0,0.0
Chris McCullough,WAS,23,0.0,0.0,0.0
