PLAYER,TEAM,AGE,FGM,FGA,FGPercent
Aaron Brooks,MIN,33,0.2,0.8,26.3
Aaron Gordon,ORL,22,1.4,4.1,34.1
Aaron Harrison,DAL,23,0.2,2.0,10.0
Abdel Nader,BOS,24,0.3,0.8,34.4
Adreian Payne,ORL,27,0.0,0.3,0.0
Al Horford,BOS,31,1.0,2.2,44.7
Al Jefferson,IND,33,0.0,0.0,0.0
Al-Farouq Aminu,POR,27,0.9,2.6,33.3
Alan Williams,PHX,25,0.0,0.0,0.0
Alec Burks,UTA,26,0.3,1.2,28.8
Alec Peters,PHX,22,0.4,1.5,25.0
Alex Abrines,OKC,24,0.6,1.5,39.8
Alex Caruso,LAL,24,0.2,0.7,30.0
Alex Len,PHX,24,0.0,0.0,0.0
Alex Poythress,IND,24,0.1,0.3,28.6
Alfonzo McKinnie,TOR,25,0.1,0.4,25.0
Allen Crabbe,BKN,25,1.5,4.2,36.7
Amir Johnson,PHI,30,0.1,0.2,26.7
Andre Drummond,DET,24,0.0,0.0,0.0
Andre Iguodala,GSW,34,0.4,1.2,32.9
Andre Roberson,OKC,26,0.1,0.2,37.5
Andrew Bogut,LAL,33,0.0,0.0,0.0
Andrew Harrison,MEM,23,0.5,1.4,37.0
Andrew White III,ATL,24,0.6,1.8,36.0
Andrew Wiggins,MIN,23,0.8,2.5,31.0
Ante Zizic,CLE,21,0.0,0.0,0.0
Anthony Brown,MIN,25,0.0,0.0,0.0
Anthony Davis,NOP,25,0.5,1.5,35.0
Anthony Tolliver,DET,32,1.2,2.8,42.9
Antonio Blakeney,CHI,21,0.2,1.3,16.7
Antonius Cleveland,ATL,24,0.0,0.0,0.0
Aron Baynes,BOS,31,0.0,0.0,0.0
Arron Afflalo,ORL,32,0.2,0.5,39.3
Austin Rivers,LAC,25,1.5,4.0,37.1
Avery Bradley,LAC,27,0.8,2.3,33.3
Bam Adebayo,MIA,20,0.0,0.0,0.0
Ben McLemore,MEM,25,0.6,1.5,37.7
Ben Moore,IND,22,0.0,0.0,0.0
Ben Simmons,PHI,21,0.0,0.0,0.0
Bismack Biyombo,ORL,25,0.0,0.0,0.0
Blake Griffin,DET,29,1.2,3.6,33.2
Boban Marjanovic,LAC,29,0.0,0.0,0.0
Bobby Brown,HOU,33,0.4,1.6,25.0
Bobby Portis,CHI,23,0.8,2.0,38.8
Bogdan Bogdanovic,SAC,25,0.9,2.4,35.8
Bojan Bogdanovic,IND,28,1.1,2.9,38.5
Bradley Beal,WAS,24,1.8,4.7,37.3
Brandan Wright,HOU,30,0.0,0.0,0.0
Brandon Ingram,LAL,20,0.3,0.9,35.8
Brandon Jennings,MIL,28,0.5,1.8,30.0
Brandon Paul,SAS,26,0.2,0.5,30.8
Briante Weber,MEM,25,0.2,0.4,37.5
Brice Johnson,MEM,23,0.0,0.1,0.0
Brook Lopez,LAL,30,1.1,3.3,32.1
Bruno Caboclo,SAC,22,0.1,0.8,16.7
Bryn Forbes,SAS,24,0.6,1.7,35.8
Buddy Hield,SAC,24,1.2,2.8,41.8
C.J. Williams,LAC,28,0.3,1.1,29.4
CJ McCollum,POR,26,1.4,3.5,41.0
CJ Miles,TOR,31,1.5,4.0,36.3
Caleb Swanigan,POR,20,0.0,0.2,25.0
Cameron Payne,CHI,23,1.0,2.6,36.5
Caris LeVert,BKN,23,0.7,2.1,34.7
Carmelo Anthony,OKC,33,1.3,3.6,36.2
Cedi Osman,CLE,22,0.2,0.4,37.5
Chandler Parsons,MEM,29,0.9,2.3,37.8
Channing Frye,LAL,34,0.5,1.4,35.9
Charles Cooke,NOP,23,0.0,0.2,0.0
Cheick Diallo,NOP,21,0.0,0.0,0.0
Chris Boucher,GSW,25,-,-,-
Chris McCullough,WAS,23,0.1,0.4,12.5
Chris Paul,HOU,32,1.6,4.4,37.2
Clint Capela,HOU,23,0.0,0.0,0.0
Cody Zeller,CHA,25,0.0,0.1,50.0
Cole Aldrich,MIN,29,0.0,0.0,0.0
Corey Brewer,OKC,32,0.1,0.3,27.8
Cory Joseph,IND,26,0.5,1.5,35.9
Courtney Lee,NYK,32,0.7,2.0,36.4
Cristiano Felicio,CHI,25,0.0,0.0,0.0
D'Angelo Russell,BKN,22,1.3,4.0,32.7
D.J. Augustin,ORL,30,1.1,2.7,41.6
D.J. Wilson,MIL,22,0.1,0.2,25.0
Dakari Johnson,OKC,22,0.0,0.0,0.0
Damian Jones,GSW,22,0.0,0.0,0.0
Damian Lillard,POR,27,2.5,6.5,38.2
Damien Wilkins,IND,38,0.0,0.4,0.0
Damion Lee,ATL,25,0.5,1.6,31.3
Damyean Dotson,NYK,23,0.2,0.8,23.3
Daniel Hamilton,OKC,22,0.2,0.4,50.0
Daniel Theis,BOS,25,0.1,0.5,23.5
Danilo Gallinari,LAC,29,1.0,3.4,31.0
Danny Green,SAS,30,0.8,2.4,32.0
Dante Cunningham,BKN,30,0.1,0.5,28.1
Dante Exum,UTA,22,0.1,0.1,100
Danuel House,PHX,24,0.2,1.0,21.1
Dario Saric,PHI,23,1.6,4.1,38.9
Darius Miller,NOP,28,1.0,2.8,37.4
Darrell Arthur,DEN,30,0.2,0.6,27.3
Darren Collison,IND,30,0.8,1.8,45.5
Darrun Hilliard,SAS,24,0.0,0.3,0.0
David Nwaba,CHI,25,0.1,0.2,42.9
David Stockton,UTA,26,0.5,1.0,50.0
David West,GSW,37,0.0,0.1,50.0
Davis Bertans,SAS,25,1.0,2.7,37.1
Davon Reed,PHX,22,0.4,1.2,30.0
De'Aaron Fox,SAC,20,0.3,0.9,29.2
DeAndre Jordan,LAC,29,0.0,0.0,0.0
DeAndre Liggins,NOP,30,0.2,0.3,56.3
DeAndre' Bembry,ATL,23,0.1,0.4,22.2
DeMar DeRozan,TOR,28,0.6,1.9,34.0
DeMarcus Cousins,NOP,27,1.8,5.1,35.8
DeMarre Carroll,BKN,31,0.8,2.5,33.1
Dejounte Murray,SAS,21,0.0,0.1,25.0
Delon Wright,TOR,25,0.5,1.3,38.8
Demetrius Jackson,PHI,23,0.1,0.4,20.0
Dennis Schroder,ATL,24,0.7,2.2,30.6
Dennis Smith Jr.,DAL,20,1.0,3.0,32.5
Denzel Valentine,CHI,24,1.1,2.8,41.5
Derrick Favors,UTA,26,0.0,0.1,25.0
Derrick Jones Jr.,MIA,21,0.0,0.3,0.0
Derrick Rose,MIN,29,0.2,0.7,30.8
Derrick Walton Jr.,MIA,23,0.3,0.5,50.0
Derrick White,SAS,23,0.3,0.6,44.4
Derrick Williams,LAL,26,0.0,0.0,0.0
Devin Booker,PHX,21,1.9,4.8,38.3
Devin Harris,DEN,35,0.6,1.6,38.5
Dewayne Dedmon,ATL,28,0.3,0.8,32.6
Deyonta Davis,MEM,21,0.0,0.0,0.0
Dillon Brooks,MEM,22,0.7,2.0,37.5
Dion Waiters,MIA,26,0.9,3.5,26.0
Dirk Nowitzki,DAL,39,1.1,2.9,36.8
Domantas Sabonis,IND,21,0.1,0.4,34.5
Donovan Mitchell,UTA,21,1.6,4.7,33.9
Dorian Finney-Smith,DAL,24,0.2,1.1,16.7
Doug McDermott,DAL,26,0.6,1.5,42.2
Dragan Bender,PHX,20,0.8,2.1,37.3
Draymond Green,GSW,28,0.9,2.8,32.1
Dwayne Bacon,CHA,22,0.0,0.3,12.5
Dwight Buycks,DET,29,0.3,0.8,33.3
Dwight Howard,CHA,32,0.0,0.0,33.3
Dwight Powell,DAL,26,0.1,0.4,32.3
Dwyane Wade,MIA,36,0.4,1.0,37.7
E'Twaun Moore,NOP,29,0.6,1.6,35.8
Ed Davis,POR,28,0.0,0.0,0.0
Ekpe Udoh,UTA,30,0.0,0.0,0.0
Elfrid Payton,PHX,24,0.3,0.8,31.4
Emeka Okafor,NOP,35,0.0,0.0,0.0
Emmanuel Mudiay,NYK,22,0.4,1.4,26.2
Enes Kanter,NYK,25,0.0,0.0,0.0
Eric Bledsoe,MIL,28,1.2,3.5,35.8
Eric Gordon,HOU,29,2.3,6.5,35.2
Eric Moreland,DET,26,0.0,0.0,0.0
Erik McCree,UTA,24,0.0,0.3,0.0
Ersan Ilyasova,PHI,30,0.6,1.8,33.0
Evan Fournier,ORL,25,1.4,4.0,35.8
Evan Turner,POR,29,0.1,0.4,34.4
Frank Kaminsky,CHA,24,1.1,2.7,40.1
Frank Mason,SAC,24,0.3,1.0,31.3
Frank Ntilikina,NYK,19,0.4,1.2,35.6
Fred VanVleet,TOR,24,0.7,1.8,40.3
Furkan Korkmaz,PHI,20,0.4,1.0,36.4
Garrett Temple,SAC,31,0.6,1.6,40.0
Gary Harris,DEN,23,1.2,3.1,39.7
Gary Payton II,LAL,25,0.1,0.4,16.7
George Hill,CLE,31,0.5,1.5,36.5
Georges Niang,UTA,24,0.0,0.2,0.0
Georgios Papagiannis,POR,20,0.0,0.0,0.0
Gerald Green,HOU,32,1.7,4.4,38.1
Gian Clavell,DAL,24,0.3,0.9,33.3
Giannis Antetokounmpo,MIL,23,0.4,1.4,31.4
Glenn Robinson III,IND,24,0.0,0.4,0.0
Goran Dragic,MIA,31,1.0,2.7,35.5
Gordon Hayward,BOS,28,0.0,1.0,0.0
Gorgui Dieng,MIN,28,0.0,0.1,33.3
Greg Monroe,BOS,27,0.0,0.0,0.0
Guerschon Yabusele,BOS,22,0.3,0.8,42.9
Harrison Barnes,DAL,25,0.8,2.2,35.6
Hassan Whiteside,MIA,28,0.0,0.0,100
Henry Ellenson,DET,21,0.3,0.9,29.6
Ian Clark,NOP,27,0.4,1.5,29.0
Ian Mahinmi,WAS,31,0.0,0.0,0.0
Ike Anigbogu,IND,19,0.0,0.0,0.0
Iman Shumpert,SAC,27,0.3,1.0,28.6
Isaiah Canaan,PHX,26,0.6,2.2,27.9
