PLAYER,TEAM,AGE,DIFFPercent
Rudy Gobert,UTA,25,-4.4
DeMarcus Cousins,NOP,27,-2.3
Clint Capela,HOU,23,-1.9
Nikola Jokic,DEN,23,6.4
Karl-Anthony Towns,MIN,22,0.1
Nikola Vucevic,ORL,27,3.8
Al Horford,BOS,31,-7.5
Joel Embiid,PHI,24,-9.0
Myles Turner,IND,22,-1.7
Anthony Davis,NOP,25,-7.7
Steven Adams,OKC,24,-4.6
Jusuf Nurkic,POR,23,-2.3
Marc Gasol,MEM,33,-3.8
Marcin Gortat,WAS,34,-1.8
Andre Drummond,DET,24,-1.8
Enes Kanter,NYK,25,1.6
Jonas Valanciunas,TOR,25,-3.4
LaMarcus Aldridge,SAS,32,-6.7
John Henson,MIL,27,-2.0
Kristaps Porzingis,NYK,22,-6.1
Robin Lopez,CHI,30,-1.6
Draymond Green,GSW,28,-5.1
DeAndre Jordan,LAC,29,-3.8
Brook Lopez,LAL,30,-4.3
Hassan Whiteside,MIA,28,-4.7
Kevin Love,CLE,29,4.3
Paul Millsap,DEN,33,-6.6
Jakob Poeltl,TOR,22,-4.5
Derrick Favors,UTA,26,-5.9
Tobias Harris,LAC,25,1.1
Luol Deng,LAL,32,-19.0
Dwight Howard,CHA,32,-1.3
Domantas Sabonis,IND,21,-1.3
Pau Gasol,SAS,37,-5.0
Blake Griffin,DET,29,-1.0
Tyson Chandler,PHX,35,-1.0
Alex Len,PHX,24,-2.1
Aaron Gordon,ORL,22,-3.9
Jarrett Allen,BKN,19,-3.6
Rondae Hollis-Jefferson,BKN,23,1.0
Julius Randle,LAL,23,-1.2
Aron Baynes,BOS,31,-3.1
Giannis Antetokounmpo,MIL,23,-5.2
Taj Gibson,MIN,32,-0.3
John Collins,ATL,20,-4.2
Kemba Walker,CHA,27,-0.6
DeMarre Carroll,BKN,31,0.4
Dragan Bender,PHX,20,-0.3
Greg Monroe,BOS,27,2.4
Al-Farouq Aminu,POR,27,-3.4
Tristan Thompson,CLE,27,4.2
Kevin Durant,GSW,29,-5.5
Lauri Markkanen,CHI,20,1.1
Jrue Holiday,NOP,27,0.0
Serge Ibaka,TOR,28,1.3
Danilo Gallinari,LAC,29,-2.1
Andrew Wiggins,MIN,23,3.5
Tyler Zeller,MIL,28,-1.1
Dario Saric,PHI,23,1.0
Thaddeus Young,IND,29,0.3
Kelly Olynyk,MIA,26,2.4
Emeka Okafor,NOP,35,-4.4
Dirk Nowitzki,DAL,39,-1.2
James Harden,HOU,28,-0.8
John Wall,WAS,27,-4.1
Thon Maker,MIL,21,1.1
Larry Nance Jr.,CLE,25,1.5
Kyle Kuzma,LAL,22,-1.3
Danny Green,SAS,30,-1.2
Robert Covington,PHI,27,2.7
Josh Richardson,MIA,24,-7.8
Lonzo Ball,LAL,20,-3.7
Dewayne Dedmon,ATL,28,-2.5
Mason Plumlee,DEN,28,-5.0
CJ McCollum,POR,26,-2.3
Nikola Mirotic,NOP,27,0.0
Paul George,OKC,27,4.1
Zach Randolph,SAC,36,7.5
Marquese Chriss,PHX,20,-1.9
LeBron James,CLE,33,-1.5
Ben Simmons,PHI,21,-1.8
Ersan Ilyasova,PHI,30,-3.0
Kyle Lowry,TOR,32,-1.1
Dion Waiters,MIA,26,4.8
Bismack Biyombo,ORL,25,-2.1
Willie Cauley-Stein,SAC,24,-2.5
Ed Davis,POR,28,-2.7
Markieff Morris,WAS,28,0.3
Carmelo Anthony,OKC,33,3.3
Harrison Barnes,DAL,25,-1.3
E'Twaun Moore,NOP,29,4.5
Michael Kidd-Gilchrist,CHA,24,-1.2
Ryan Anderson,HOU,29,-4.2
Tyrone Wallace,LAC,23,6.5
Elfrid Payton,PHX,24,4.7
Tyler Johnson,MIA,25,3.7
Klay Thompson,GSW,28,-3.0
Kyle O'Quinn,NYK,28,-3.1
Jamal Murray,DEN,21,8.6
Jimmy Butler,MIN,28,-0.2
Chris Paul,HOU,32,5.2
Mike Muscala,ATL,26,-1.3
Bradley Beal,WAS,24,3.6
Ricky Rubio,UTA,27,3.7
Marvin Williams,CHA,31,3.3
Andre Roberson,OKC,26,2.4
Daniel Theis,BOS,25,-4.7
Frank Kaminsky,CHA,24,2.8
Damian Lillard,POR,27,-3.6
Miles Plumlee,ATL,29,-6.3
Brandon Ingram,LAL,20,1.3
Malcolm Brogdon,MIL,25,2.3
Trey Lyles,DEN,22,-2.3
Caris LeVert,BKN,23,1.0
Taurean Prince,ATL,24,4.0
Justin Holiday,CHI,28,-1.5
Austin Rivers,LAC,25,1.0
Otto Porter Jr.,WAS,24,4.2
Marcus Morris,BOS,28,0.7
Zaza Pachulia,GSW,34,1.5
James Johnson,MIA,31,0.0
Devin Booker,PHX,21,1.3
Amir Johnson,PHI,30,-3.7
Jonathan Isaac,ORL,20,0.1
Skal Labissiere,SAC,22,1.1
Kris Dunn,CHI,24,2.9
Luc Mbah a Moute,HOU,31,-0.6
