PLAYER,TEAM,AGE,2FGA,2FGPercent,3PA,3PPercent
LaMarcus Aldridge,SAS,32,604,56.3,9,11.1
DeMar DeRozan,TOR,28,524,54.8,72,27.8
Anthony Davis,NOP,25,574,60.3,9,55.6
LeBron James,CLE,33,526,66.7,53,30.2
James Harden,HOU,28,352,59.4,207,34.8
Russell Westbrook,OKC,29,516,51.7,38,26.3
Kevin Durant,GSW,29,411,55.2,127,37.8
Giannis Antetokounmpo,MIL,23,526,65.0,7,0.0
CJ McCollum,POR,26,413,51.6,86,36.0
Andrew Wiggins,MIN,23,468,53.8,30,20.0
TJ Warren,PHX,24,477,52.2,6,0.0
Ben Simmons,PHI,21,469,55.4,1,0.0
Lou Williams,LAC,31,354,55.6,112,33.0
Khris Middleton,MIL,26,404,52.0,62,37.1
Bradley Beal,WAS,24,385,52.5,71,26.8
Andre Drummond,DET,24,449,54.6,1,0.0
Donovan Mitchell,UTA,21,390,55.4,57,29.8
Damian Lillard,POR,27,309,55.0,138,34.8
Kyrie Irving,BOS,26,334,53.6,112,37.5
Devin Booker,PHX,21,345,50.7,90,37.8
Dwight Howard,CHA,32,412,64.6,1,0.0
Karl-Anthony Towns,MIN,22,394,69.0,9,22.2
Dennis Schroder,ATL,24,390,53.6,11,45.5
Kemba Walker,CHA,27,286,53.8,112,31.3
Jrue Holiday,NOP,27,385,57.9,12,16.7
Victor Oladipo,IND,25,338,60.7,59,32.2
Julius Randle,LAL,23,390,67.2,3,33.3
Klay Thompson,GSW,28,302,57.6,91,36.3
Harrison Barnes,DAL,25,370,52.2,13,46.2
Jusuf Nurkic,POR,23,381,57.7,0,-
Carmelo Anthony,OKC,33,298,48.3,76,36.8
Tobias Harris,LAC,25,340,52.1,33,39.4
Michael Beasley,NYK,29,360,56.7,6,33.3
Kristaps Porzingis,NYK,22,351,50.4,15,6.7
Paul George,OKC,27,286,55.9,78,25.6
Jimmy Butler,MIN,28,320,50.9,39,20.5
Goran Dragic,MIA,31,313,52.1,41,31.7
Steven Adams,OKC,24,353,66.3,0,-
Enes Kanter,NYK,25,342,68.4,0,-
Jeremy Lamb,CHA,25,298,54.0,41,24.4
Brandon Ingram,LAL,20,316,54.4,15,40.0
Jamal Crawford,MIN,38,217,47.5,113,28.3
Clint Capela,HOU,23,327,72.8,0,-
Nikola Jokic,DEN,23,297,64.6,28,46.4
Will Barton,DEN,27,275,60.0,50,38.0
