PLAYER,TEAM,AGE,2FGA,2FGPercent,3PA,3PPercent
Andre Drummond,DET,24,219,60.3,0,-
Jusuf Nurkic,POR,23,216,53.7,0,-
Anthony Davis,NOP,25,209,61.2,0,-
Giannis Antetokounmpo,MIL,23,198,67.2,1,0.0
Karl-Anthony Towns,MIN,22,188,53.7,0,-
Julius Randle,LAL,23,186,69.4,0,-
Russell Westbrook,OKC,29,181,53.0,3,0.0
Dwight Howard,CHA,32,183,60.1,0,-
Enes Kanter,NYK,25,177,69.5,0,-
DeMar DeRozan,TOR,28,164,56.7,1,0.0
Jrue Holiday,NOP,27,164,64.0,0,-
Andrew Wiggins,MIN,23,160,56.3,0,-
LaMarcus Aldridge,SAS,32,153,56.2,1,0.0
Ben Simmons,PHI,21,152,53.3,1,0.0
Michael Beasley,NYK,29,150,52.7,0,-
Clint Capela,HOU,23,149,65.1,0,-
LeBron James,CLE,33,148,74.3,0,-
Joel Embiid,PHI,24,147,57.1,1,0.0
Nikola Jokic,DEN,23,144,46.5,2,0.0
DeMarcus Cousins,NOP,27,140,57.9,4,0.0
Steven Adams,OKC,24,143,67.8,0,-
Jonathon Simmons,ORL,28,140,62.9,3,0.0
Tobias Harris,LAC,25,141,55.3,2,0.0
TJ Warren,PHX,24,141,61.0,1,0.0
Blake Griffin,DET,29,140,59.3,2,0.0
Taj Gibson,MIN,32,141,68.8,0,-
Damian Lillard,POR,27,108,59.3,29,27.6
Kristaps Porzingis,NYK,22,136,47.1,1,0.0
Josh Jackson,PHX,21,136,52.2,0,-
Kyrie Irving,BOS,26,123,56.9,10,30.0
Robin Lopez,CHI,30,128,57.8,0,-
Bobby Portis,CHI,23,128,51.6,0,-
Lou Williams,LAC,31,118,50.0,9,33.3
CJ McCollum,POR,26,109,41.3,18,27.8
Thaddeus Young,IND,29,126,57.9,0,-
DeAndre Jordan,LAC,29,124,56.5,0,-
Dennis Schroder,ATL,24,123,61.8,0,-
Kemba Walker,CHA,27,96,51.0,27,51.9
Domantas Sabonis,IND,21,120,57.5,0,-
Bradley Beal,WAS,24,114,56.1,6,16.7
Dennis Smith Jr.,DAL,20,116,50.9,3,0.0
Elfrid Payton,PHX,24,117,60.7,1,0.0
Willie Cauley-Stein,SAC,24,117,58.1,0,-
James Harden,HOU,28,103,58.3,13,15.4
Zach Randolph,SAC,36,115,59.1,0,-
John Collins,ATL,20,114,58.8,0,-
Harrison Barnes,DAL,25,113,50.4,1,0.0
Jonas Valanciunas,TOR,25,113,62.8,0,-
Tyreke Evans,MEM,28,109,54.1,1,0.0
Montrezl Harrell,LAC,24,105,75.2,0,-
Rudy Gobert,UTA,25,104,58.7,0,-
Jaylen Brown,BOS,21,104,46.2,0,-
Jimmy Butler,MIN,28,93,60.2,6,33.3
Alex Len,PHX,24,98,53.1,0,-
Derrick Favors,UTA,26,97,68.0,0,-
Goran Dragic,MIA,31,95,56.8,2,50.0
Paul George,OKC,27,89,52.8,8,25.0
Victor Oladipo,IND,25,93,51.6,4,0.0
Jakob Poeltl,TOR,22,95,69.5,0,-
Devin Booker,PHX,21,90,45.6,5,20.0
Al Horford,BOS,31,94,60.6,0,-
Lauri Markkanen,CHI,20,94,55.3,0,-
Khris Middleton,MIL,26,90,46.7,4,50.0
Will Barton,DEN,27,94,42.6,0,-
Stephen Curry,GSW,30,81,59.3,12,41.7
Jeremy Lamb,CHA,25,87,50.6,6,16.7
Austin Rivers,LAC,25,90,55.6,2,50.0
Donovan Mitchell,UTA,21,87,50.6,5,0.0
Greg Monroe,BOS,27,91,58.2,0,-
Jayson Tatum,BOS,20,90,62.2,0,-
Hassan Whiteside,MIA,28,90,60.0,0,-
Brandon Ingram,LAL,20,90,55.6,0,-
Jeff Green,CLE,31,90,55.6,0,-
Kyle Kuzma,LAL,22,89,49.4,1,100
David Nwaba,CHI,25,89,55.1,0,-
