PLAYER,TEAM,AGE,MIN
Aaron Gordon,ORL,22,33.7
Aaron Harrison,DAL,23,19.4
Abdel Nader,BOS,24,10.6
Al Horford,BOS,31,31.6
Al Jefferson,IND,33,13.6
Al-Farouq Aminu,POR,27,30.0
Alan Williams,PHX,25,16.8
Alec Burks,UTA,26,16.6
Alec Peters,PHX,22,10.2
Alex Abrines,OKC,24,15.0
Alex Caruso,LAL,24,14.3
Alex Len,PHX,24,19.9
Allen Crabbe,BKN,25,29.4
Amir Johnson,PHI,30,15.4
Andre Drummond,DET,24,33.4
Andre Iguodala,GSW,34,25.4
Andre Roberson,OKC,26,26.6
Andrew Harrison,MEM,23,23.7
Andrew White III,ATL,24,14.2
Andrew Wiggins,MIN,23,36.3
Anthony Davis,NOP,25,36.4
Anthony Tolliver,DET,32,21.5
Antonio Blakeney,CHI,21,16.5
Aron Baynes,BOS,31,18.2
Arron Afflalo,ORL,32,12.9
Austin Rivers,LAC,25,33.8
Avery Bradley,LAC,27,31.2
Bam Adebayo,MIA,20,20.1
Ben McLemore,MEM,25,18.5
Ben Simmons,PHI,21,34.1
Bismack Biyombo,ORL,25,18.4
Blake Griffin,DET,29,34.0
Bobby Portis,CHI,23,22.5
Bogdan Bogdanovic,SAC,25,27.7
Bojan Bogdanovic,IND,28,31.0
Bradley Beal,WAS,24,36.2
Brandan Wright,HOU,30,13.6
Brandon Ingram,LAL,20,33.5
Brandon Jennings,MIL,28,14.2
Briante Weber,MEM,25,13.1
Brook Lopez,LAL,30,23.6
Bryn Forbes,SAS,24,19.0
Buddy Hield,SAC,24,25.1
C.J. Williams,LAC,28,18.6
CJ McCollum,POR,26,36.1
CJ Miles,TOR,31,19.0
Cameron Payne,CHI,23,22.6
Caris LeVert,BKN,23,26.2
Carmelo Anthony,OKC,33,32.1
Cedi Osman,CLE,22,10.4
Chandler Parsons,MEM,29,19.2
Channing Frye,LAL,34,12.5
Cheick Diallo,NOP,21,11.0
Chris Paul,HOU,32,31.9
Clint Capela,HOU,23,27.6
Cody Zeller,CHA,25,19.0
Corey Brewer,OKC,32,16.1
Cory Joseph,IND,26,27.1
Courtney Lee,NYK,32,30.6
Cristiano Felicio,CHI,25,16.6
D'Angelo Russell,BKN,22,25.7
D.J. Augustin,ORL,30,23.8
Damian Lillard,POR,27,36.6
Damion Lee,ATL,25,26.0
Daniel Theis,BOS,25,14.9
Danilo Gallinari,LAC,29,32.0
Danny Green,SAS,30,26.0
Dante Cunningham,BKN,30,21.5
Dante Exum,UTA,22,14.8
Danuel House,PHX,24,13.4
Dario Saric,PHI,23,30.1
Darius Miller,NOP,28,23.7
Darren Collison,IND,30,29.7
David Nwaba,CHI,25,23.0
David West,GSW,37,13.7
Davis Bertans,SAS,25,14.6
Davon Reed,PHX,22,10.9
De'Aaron Fox,SAC,20,27.4
DeAndre Jordan,LAC,29,31.8
DeAndre Liggins,NOP,30,13.1
DeAndre' Bembry,ATL,23,17.2
DeMar DeRozan,TOR,28,34.1
DeMarcus Cousins,NOP,27,36.2
DeMarre Carroll,BKN,31,30.0
Dejounte Murray,SAS,21,21.2
Delon Wright,TOR,25,20.6
Dennis Schroder,ATL,24,31.0
Dennis Smith Jr.,DAL,20,29.5
Denzel Valentine,CHI,24,27.2
Derrick Favors,UTA,26,28.0
Derrick Jones Jr.,MIA,21,12.9
Derrick Rose,MIN,29,17.4
Devin Booker,PHX,21,34.5
Devin Harris,DEN,35,19.0
Dewayne Dedmon,ATL,28,24.8
Deyonta Davis,MEM,21,14.4
Dillon Brooks,MEM,22,28.6
Dion Waiters,MIA,26,30.6
Dirk Nowitzki,DAL,39,24.7
Domantas Sabonis,IND,21,24.6
Donovan Mitchell,UTA,21,33.5
Dorian Finney-Smith,DAL,24,18.2
Doug McDermott,DAL,26,21.9
Dragan Bender,PHX,20,24.8
Draymond Green,GSW,28,32.8
Dwayne Bacon,CHA,22,13.5
Dwight Buycks,DET,29,14.7
Dwight Howard,CHA,32,30.5
Dwight Powell,DAL,26,20.9
Dwyane Wade,MIA,36,23.0
E'Twaun Moore,NOP,29,31.7
Ed Davis,POR,28,18.9
Ekpe Udoh,UTA,30,13.3
Elfrid Payton,PHX,24,28.7
Emeka Okafor,NOP,35,14.7
Emmanuel Mudiay,NYK,22,19.6
Enes Kanter,NYK,25,25.8
Eric Bledsoe,MIL,28,31.5
Eric Gordon,HOU,29,31.4
Eric Moreland,DET,26,11.4
Ersan Ilyasova,PHI,30,24.9
Evan Fournier,ORL,25,32.2
Evan Turner,POR,29,25.5
Frank Kaminsky,CHA,24,23.1
Frank Mason,SAC,24,19.2
Frank Ntilikina,NYK,19,21.1
Fred VanVleet,TOR,24,20.2
Garrett Temple,SAC,31,24.8
Gary Harris,DEN,23,34.8
George Hill,CLE,31,27.4
Gerald Green,HOU,32,22.3
Giannis Antetokounmpo,MIL,23,37.0
Glenn Robinson III,IND,24,13.0
Goran Dragic,MIA,31,31.9
Gorgui Dieng,MIN,28,17.1
Greg Monroe,BOS,27,20.1
Harrison Barnes,DAL,25,34.1
Hassan Whiteside,MIA,28,25.6
Ian Clark,NOP,27,19.5
Ian Mahinmi,WAS,31,14.9
Iman Shumpert,SAC,27,19.7
Isaiah Canaan,PHX,26,21.1
Isaiah Hicks,NYK,23,11.6
