PLAYER,TEAM,GP,< 5 Att,< 5 %,5 - 9 Att,5 - 9 %,10 - 14 Att,10 - 14 %,15 - 19 Att,15 - 19 %,20 - 24 Att,20 - 24 %,25 - 29 Att,25 - 29 %,0 - 2 Att 2,0 -2 % 2,2 - 4 Att 2,2 - 4 % 2,4 - 6 Att 2,4 - 6 % 2,6 + Att 2,6 + % 2,0 - 2 Att 3,0 -2 % 3,2 - 4 Att 3,2 - 4 % 3,4 - 6 Att 3,4 - 6 % 3,6 + Att 3,6 + % 3,2P Adj,3P Adj
Aaron Gordon,ORL,53,5,66.3,0.9,21.7,1.2,33.3,1.8,29.5,2,36.4,4.1,34.1,65,56.9,220,55,126,51.6,36,52.8,0.001,0.001,22,9.1,98,30.6,191,39.3,3.9,-4.4
Aaron Harrison,DAL,5,0.6,100,0.001,0.001,0.2,0.001,0.8,50,1.8,11.1,2,10,1,100,5,40,3,66.7,0.001,0.001,0.001,0.001,0.001,0.001,7,14.3,11,9.1,12.9,0.9
Abdel Nader,BOS,42,1,40,0.4,18.8,0.1,33.3,0.1,0.001,0.8,38.7,0.8,34.4,12,41.7,34,38.2,11,27.3,0.001,0.001,1,100,8,37.5,14,21.4,37,40.5,5.2,8
Al Horford,BOS,68,2.9,67.9,1.9,41.1,1.4,37,0.9,48.3,1.2,39.8,2.2,44.7,94,60.6,184,55.4,110,48.2,59,52.5,0.001,0.001,3,33.3,28,42.9,171,43.3,-7.5,-4.2
Al Jefferson,IND,34,2.1,61.1,1.4,48.9,1,63.6,1.2,38.5,0.2,20,0.001,0.001,36,72.2,81,59.3,34,47.1,24,54.2,0.001,0.001,1,0.001,0.001,0.001,0.001,0.001,2,0.9
Al-Farouq Aminu,POR,4,1.8,57.1,2,37.5,0.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4,50,7,42.9,3,33.3,1,100,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.8,-9.4
Alan Williams,PHX,62,2.1,56.9,0.8,29.2,0.7,33.3,0.6,40,1.1,38.2,1.2,28.8,31,41.9,135,48.9,65,53.8,12,58.3,2,50,15,13.3,47,21.3,69,43.5,6.3,8
Alec Burks,UTA,16,0.4,66.7,0.001,0.001,0.001,0.001,0.1,50,1,13.3,1.5,25,2,50,5,80,1,0.001,0.001,0.001,0.001,0.001,1,0.001,12,16.7,27,22.2,-9,5.5
Alec Peters,PHX,72,0.6,52.5,0.1,28.6,0.1,62.5,0.1,0.001,1.5,37.9,1.5,39.8,10,30,26,57.7,11,45.5,10,50,0.001,0.001,14,0.001,82,45.1,105,41,-0.1,11.5
Alex Abrines,OKC,31,1.1,69.7,0.3,37.5,0.3,22.2,0.1,25,0.3,11.1,0.7,30,12,25,22,77.3,8,75,9,33.3,0.001,0.001,1,0.001,10,0.001,19,36.8,-3.8,-7.8
Alex Caruso,LAL,65,4.4,60.6,0.3,29.4,0.3,50,0.2,18.2,0.1,0.001,0.001,0.001,98,53.1,139,68.3,41,75.6,22,59.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-2.1,5.2
Alex Len,PHX,64,2.1,58.1,0.7,26.1,0.2,18.2,0.4,11.5,2.5,42.4,2.6,33.3,38,34.2,120,51.7,40,40,12,50,1,100,23,34.8,88,35.2,203,39.4,-3.4,-2.1
Allen Crabbe,BKN,71,1.2,69,0.8,40.7,0.6,33.3,0.7,40,3.3,34.5,4.2,36.7,37,40.5,125,51.2,61,45.9,33,48.5,18,33.3,107,33.6,178,38.2,163,38,-2.6,-4.6
Amir Johnson,PHI,68,1.9,63.4,0.7,48,0.1,11.1,0.001,66.7,0.2,33.3,0.2,26.7,47,68.1,95,62.1,22,72.7,4,75,0.001,0.001,0.001,0.001,4,0.001,23,34.8,-3.7,-4.5
Andre Drummond,DET,75,8.6,60.7,1.9,28.6,0.6,28.3,0.001,0.001,0.001,0.001,0.001,0.001,219,60.3,449,54.6,80,60,29,69,0.001,0.001,1,0.001,1,0.001,6,0.001,-1.8,3.5
Andre Iguodala,GSW,63,1.8,74.3,0.3,22.7,0.3,36.8,0.6,35,0.7,28.6,1.2,32.9,19,63.2,105,60,43,58.1,22,59.1,0.001,0.001,11,27.3,40,45,62,19.4,-0.5,-7.8
Andre Roberson,OKC,39,3.2,63.7,0.001,0.001,0.001,0.001,0.001,0.001,0.7,19.2,0.2,37.5,24,62.5,50,70,21,76.2,10,70,0.001,0.001,4,25,2,50,29,20.7,2.4,-2.9
Andrew Harrison,MEM,56,2.6,55.8,0.6,37.1,0.4,37.5,1,37.9,1.4,30.9,1.4,37,32,59.4,143,47.6,71,60.6,12,33.3,0.001,0.001,10,20,50,28,82,37.8,-2.2,2.8
Andrew White III,ATL,14,0.9,33.3,0.1,100,0.2,33.3,0.3,25,1.8,37.5,1.8,36,2,50,10,30,6,33.3,4,25,0.001,0.001,10,40,18,50,13,30.8,4.9,11.4
Andrew Wiggins,MIN,78,4.5,66.2,1.9,45.4,1.9,35.6,2.3,34.1,2.6,35,2.5,31,160,56.3,468,53.8,196,40.3,38,57.9,0.001,0.001,30,20,123,38.2,170,31.8,3.5,0.8
Anthony Davis,NOP,70,8.5,72.1,2.7,42.9,2.6,45,2.7,36.7,1.5,32.7,1.5,35,209,61.2,574,60.3,284,52.8,97,51.5,0.001,0.001,9,55.6,31,29,115,32.2,-7.7,-3.5
Anthony Tolliver,DET,74,0.9,63.2,0.2,23.1,0.1,42.9,0.001,33.3,1.7,39.8,2.8,42.9,17,47.1,46,54.3,19,73.7,5,80,1,0.001,33,30.3,121,42.1,170,44.7,-4.7,-5.4
Antonio Blakeney,CHI,19,1.6,51.6,0.5,20,0.6,33.3,1.3,41.7,2.3,40.5,1.3,16.7,9,55.6,39,33.3,30,53.3,4,50,0.001,0.001,8,12.5,24,25,18,44.4,2.2,-6
Aron Baynes,BOS,75,2.3,52,0.8,42.4,0.9,44.3,0.9,51.5,0.3,26.1,0.001,0.001,79,44.3,123,55.3,64,51.6,75,57.3,0.001,0.001,0.001,0.001,2,0.001,12,16.7,-3.1,-13.5
Arron Afflalo,ORL,51,0.5,60.9,0.2,50,0.4,27.8,0.5,30.8,0.9,34.9,0.5,39.3,9,66.7,40,37.5,25,44,7,42.9,0.001,0.001,10,20,31,48.4,23,34.8,-4.7,5.6
Austin Rivers,LAC,57,5,53.3,1.2,33.3,0.8,33.3,0.2,35.7,2,39.8,4,37.1,90,55.6,195,52.8,61,55.7,19,47.4,2,50,23,39.1,170,37.1,141,39.7,1,0.1
Avery Bradley,LAC,46,3.8,55.5,1.1,34,1.1,33.3,2,40.7,3.3,36.4,2.3,33.3,47,40.4,176,52.8,112,42,36,66.7,6,33.3,17,52.9,67,25.4,109,43.1,2.7,2.5
Bam Adebayo,MIA,65,3.7,59.8,0.6,33.3,0.4,24,0.2,33.3,0.001,0.001,0.001,0.001,79,51.9,137,58.4,46,67.4,26,50,0.001,0.001,2,0.001,0.001,0.001,5,0.001,-6,-2.4
Ben McLemore,MEM,51,2,56,0.4,19,0.3,66.7,0.6,29,1.5,35.1,1.5,37.7,27,51.9,90,48.9,40,52.5,14,50,1,0.001,17,17.6,45,33.3,71,42.3,2.6,5.7
Ben Simmons,PHI,75,7.1,69.3,2.6,35.9,2,32,0.6,35.7,0.001,33.3,0.001,0.001,152,53.3,469,55.4,183,60.7,44,79.5,1,0.001,1,0.001,3,0.001,6,0.001,-1.8,-7.5
Bismack Biyombo,ORL,76,2.7,62,0.9,34.3,0.4,31.3,0.2,23.1,0.001,0.001,0.001,0.001,63,61.9,146,58.9,55,56.4,18,38.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-2.1,0.8
Blake Griffin,DET,58,6.4,62.6,2.2,33.1,0.8,18.2,1.5,35.2,2.5,34.7,3.6,33.2,140,59.3,311,54,130,43.8,62,35.5,2,0.001,13,15.4,143,35.7,168,36.3,-1,-2.5
Bobby Portis,CHI,68,4.3,53.4,1.1,50.7,0.9,47.5,1.1,48.7,1.7,34.5,2,38.8,128,51.6,200,59,115,52.2,48,66.7,0.001,0.001,5,40,78,32.1,127,38.6,4.5,-2.3
Bogdan Bogdanovic,SAC,74,1.9,57.6,0.7,37,1,48.7,1.1,40,2.3,51.2,2.4,35.8,51,56.9,165,52.1,128,50,38,63.2,2,50,51,29.4,146,39.7,106,46.2,2.6,3.9
Bojan Bogdanovic,IND,76,3.2,61.2,0.9,46.4,0.8,45.3,0.8,45.8,2,41.6,2.9,38.5,77,71.4,185,58.4,89,57.3,29,65.5,0.001,0.001,33,36.4,133,36.8,193,42.5,3.7,1.6
Bradley Beal,WAS,77,4.5,64,1.1,36.8,2,42.9,2.9,44.1,2.8,40.8,4.7,37.3,114,56.1,385,52.5,245,51.8,100,63,6,16.7,71,26.8,196,33.7,218,45.9,3.6,-1.9
Brandan Wright,HOU,28,2.7,66.7,0.5,30.8,0.4,36.4,0.1,33.3,0.001,0.001,0.001,0.001,28,60.7,47,55.3,18,77.8,2,100,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-4.4,1.3
Brandon Ingram,LAL,59,5.8,59.8,1,18.3,1.3,31.6,2.3,42.2,1.6,45.3,0.9,35.8,90,55.6,316,54.4,153,50.3,39,46.2,0.001,0.001,15,40,32,37.5,57,40.4,1.3,-4.9
Brandon Jennings,MIL,11,0.7,62.5,0.3,0.001,0.5,33.3,0.6,57.1,0.5,33.3,1.8,30,6,50,7,42.9,5,60,5,40,0.001,0.001,5,20,10,40,11,27.3,4.8,30
Briante Weber,MEM,18,0.8,50,0.5,37.5,0.2,33.3,0.4,50,0.3,50,0.4,37.5,7,28.6,12,66.7,7,42.9,3,66.7,0.001,0.001,0.001,0.001,0.001,0.001,11,36.4,20,13.7
Brook Lopez,LAL,68,2.7,70.9,2,48.9,1.3,37.6,0.5,42.4,1.1,42.7,3.3,32.1,66,56.1,249,61.4,81,46.9,13,38.5,0.001,0.001,8,50,52,25,233,36.1,-4.3,1.9
Bryn Forbes,SAS,75,0.6,54.5,0.9,49.2,0.6,39.5,1.1,40.8,1.6,40.5,1.7,35.8,15,53.3,123,49.6,71,40.8,24,50,0.001,0.001,21,38.1,92,38,101,40.6,3.8,-4.5
Buddy Hield,SAC,76,2.4,56.9,0.7,37.3,0.9,33.3,1.8,45,2.9,42.9,2.8,41.8,54,44.4,200,49,142,52.8,51,54.9,5,60,22,22.7,148,43.2,207,46.4,5.3,-2.1
C.J. Williams,LAC,33,1.4,73.8,0.6,38.9,0.6,52.6,0.6,37.5,1.3,30.8,1.1,29.4,10,40,44,65.9,24,54.2,12,66.7,1,0.001,6,50,23,26.1,39,33.3,-4.2,4.9
CJ McCollum,POR,20,2.5,53.1,1,35,0.3,0.001,0.5,60,1.2,41.7,2.6,36.5,8,37.5,39,61.5,15,53.3,11,54.5,3,0.001,6,0.001,25,24,37,54.1,3.9,-9.8
CJ Miles,TOR,67,4,57.5,1.2,37.2,0.9,38.7,0.6,30.2,1.5,34,2.1,34.7,62,51.6,219,56.2,95,48.4,27,51.9,1,0.001,2,0.001,71,39.4,152,33.6,1,6.3
Cameron Payne,CHI,74,2,52.3,0.8,33.9,2.2,45.4,2.8,42.4,3.6,35.7,3.6,36.2,76,50,298,48.3,178,42.7,40,57.5,4,25,76,36.8,179,31.3,178,43.3,3.3,-2.6
Caris LeVert,BKN,56,1,68,0.2,85.7,0.1,66.7,0.3,43.8,1,38,0.4,37.5,5,100,36,72.2,24,58.3,16,37.5,0.001,0.001,1,0.001,9,11.1,58,44.8,-3,-1.1
Carmelo Anthony,OKC,36,1.2,62.8,0.3,41.7,0.5,50,0.7,30.8,1.4,53.8,2.3,37.8,10,60,48,60.4,32,43.8,14,57.1,0.001,0.001,15,6.7,57,43.9,48,52.1,3.5,5.7
Cedi Osman,CLE,48,0.9,80.5,0.1,100,0.1,50,0.2,60,1.2,35.2,1.4,35.9,10,80,39,71.8,14,71.4,18,55.6,0.001,0.001,5,20,25,24,65,38.5,3.7,11.7
Chandler Parsons,MEM,47,2.1,67.7,0.5,47.8,0.6,50,0.4,33.3,0.1,0.001,0.001,0.001,25,60,69,63.8,26,65.4,18,50,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.8,6.9
Channing Frye,LAL,54,1.6,60.5,1.1,45,2.4,46.6,2,56.6,2,45.3,4.4,37.2,20,25,167,53.9,149,55,44,63.6,2,0.001,48,31.3,198,41.4,95,37.9,5.2,-0.8
